generation,meanFitness,bestFitness,diversity
0,0.4985000000000003,0.62,0.499
10,0.7783500000000007,0.89,0.32399999999999995
20,0.9150500000000005,0.98,0.15050000000000002
30,0.9697000000000016,1.0,6.350000000000003e-2
40,0.9792250000000026,1.0,3.950000000000001e-2
50,0.9808750000000036,1.0,3.8e-2
60,0.9816750000000032,1.0,3.9500000000000014e-2
70,0.9818750000000042,1.0,3.650000000000001e-2
80,0.9811250000000027,1.0,3.7000000000000005e-2
90,0.9818000000000037,1.0,3.750000000000001e-2
100,0.9794250000000038,1.0,3.550000000000001e-2
110,0.983500000000004,1.0,3.200000000000001e-2
120,0.9812500000000044,1.0,4.25e-2
130,0.9815250000000035,1.0,4.6000000000000006e-2
140,0.9824500000000037,1.0,3.450000000000001e-2
150,0.9820250000000033,1.0,3.750000000000001e-2
160,0.982000000000004,1.0,3.200000000000001e-2
170,0.9826500000000032,1.0,3.300000000000001e-2
180,0.9806250000000037,1.0,3.600000000000001e-2
190,0.9812500000000035,1.0,3.750000000000001e-2
200,0.9807500000000031,1.0,3.250000000000001e-2
210,0.9811250000000039,1.0,3.1000000000000007e-2
220,0.9827750000000036,1.0,3.8500000000000006e-2
230,0.9842750000000033,1.0,3.250000000000001e-2
240,0.9841500000000031,1.0,2.950000000000001e-2
250,0.9825750000000039,1.0,3.850000000000001e-2
260,0.9824000000000033,1.0,3.400000000000001e-2
270,0.982075000000004,1.0,3.0000000000000006e-2
280,0.982825000000004,1.0,3.1000000000000007e-2
290,0.9812750000000037,1.0,3.95e-2
300,0.980600000000003,1.0,3.750000000000001e-2
310,0.9807750000000035,1.0,4.450000000000001e-2
320,0.9804000000000034,1.0,4.4e-2
330,0.9819000000000044,1.0,3.600000000000001e-2
340,0.9818000000000042,1.0,3.45e-2
350,0.9803750000000033,1.0,3.65e-2
360,0.9819750000000029,1.0,4.250000000000001e-2
370,0.9829750000000036,1.0,3.8e-2
380,0.9804250000000035,1.0,3.95e-2
390,0.9815750000000045,1.0,3.1e-2
400,0.9814750000000039,1.0,3.450000000000001e-2
410,0.9822500000000037,1.0,3.900000000000001e-2
420,0.9829500000000038,1.0,3.9000000000000014e-2
430,0.9821000000000033,1.0,3.3e-2
440,0.9821000000000033,1.0,3.900000000000001e-2
450,0.9820750000000028,1.0,3.200000000000001e-2
460,0.9823500000000037,1.0,3.250000000000001e-2
470,0.9818750000000043,1.0,4.35e-2
480,0.9827750000000042,1.0,2.9000000000000005e-2
490,0.9802500000000035,1.0,4.4000000000000004e-2
500,0.9817000000000027,1.0,3.750000000000001e-2
