generation,meanFitness,bestFitness,diversity
0,0.4985000000000003,0.62,0.499
10,0.7783500000000007,0.89,0.32399999999999995
20,0.9327249999999999,0.99,0.123
30,0.9791250000000038,1.0,4.65e-2
40,0.9817750000000028,1.0,3.850000000000001e-2
50,0.9839250000000033,1.0,3.150000000000001e-2
60,0.9816750000000034,1.0,4.1500000000000016e-2
70,0.9830000000000032,1.0,3.500000000000001e-2
80,0.9827250000000026,1.0,3.45e-2
90,0.9814750000000031,1.0,4.0500000000000015e-2
100,0.9800250000000034,1.0,3.350000000000001e-2
110,0.9831000000000033,1.0,3.1000000000000007e-2
120,0.981075000000004,1.0,4.3000000000000003e-2
130,0.9811250000000042,1.0,5.250000000000001e-2
140,0.9828500000000033,1.0,2.9000000000000005e-2
150,0.9819750000000034,1.0,3.700000000000001e-2
160,0.9829000000000043,1.0,3.200000000000001e-2
170,0.9824500000000032,1.0,3.500000000000001e-2
180,0.9804750000000035,1.0,3.75e-2
190,0.9813500000000037,1.0,3.400000000000001e-2
200,0.9812250000000037,1.0,3.400000000000001e-2
210,0.9812250000000041,1.0,3.050000000000001e-2
220,0.9816250000000037,1.0,3.850000000000001e-2
230,0.9844250000000037,1.0,3.0000000000000006e-2
240,0.9828500000000036,1.0,3.6500000000000005e-2
250,0.9828500000000033,1.0,3.650000000000001e-2
260,0.9834750000000032,1.0,3.05e-2
270,0.9822250000000037,1.0,2.7999999999999997e-2
280,0.9823000000000036,1.0,3.1000000000000007e-2
290,0.9817000000000035,1.0,3.9500000000000014e-2
300,0.9805250000000045,1.0,3.5500000000000004e-2
310,0.9824250000000033,1.0,4.1e-2
320,0.981550000000003,1.0,4.35e-2
330,0.9816500000000034,1.0,3.550000000000001e-2
340,0.9821500000000029,1.0,3.200000000000001e-2
350,0.9808750000000036,1.0,3.5e-2
360,0.9819000000000034,1.0,4.0500000000000015e-2
370,0.9826250000000036,1.0,4.05e-2
380,0.9806500000000042,1.0,4.400000000000002e-2
390,0.9813250000000042,1.0,3.6e-2
400,0.9820250000000041,1.0,3.250000000000001e-2
410,0.9829750000000039,1.0,4.0500000000000015e-2
420,0.9834750000000038,1.0,3.500000000000001e-2
430,0.9824250000000037,1.0,3.350000000000001e-2
440,0.9823250000000036,1.0,4.200000000000001e-2
450,0.982525000000003,1.0,3.500000000000001e-2
460,0.9816500000000032,1.0,3.400000000000001e-2
470,0.9813500000000036,1.0,4.3500000000000004e-2
480,0.9833500000000035,1.0,2.900000000000001e-2
490,0.9813500000000037,1.0,3.850000000000001e-2
500,0.9821250000000026,1.0,3.650000000000001e-2
