generation,meanFitness,bestFitness,diversity
0,0.4950250000000002,0.64,0.4880000000000001
10,0.7743250000000004,0.89,0.33499999999999996
20,0.9338250000000002,1.0,0.12250000000000001
30,0.9784750000000034,1.0,4.700000000000002e-2
40,0.9818750000000042,1.0,3.7500000000000006e-2
50,0.9829000000000037,1.0,2.950000000000001e-2
60,0.9824750000000034,1.0,3.650000000000001e-2
70,0.9824250000000023,1.0,3.350000000000001e-2
80,0.981900000000004,1.0,3.650000000000001e-2
90,0.9818750000000037,1.0,3.400000000000001e-2
100,0.9822750000000035,1.0,3.05e-2
110,0.9819000000000032,1.0,4.250000000000002e-2
120,0.9822500000000022,1.0,3.05e-2
130,0.9823250000000039,1.0,3.600000000000001e-2
140,0.983725000000003,1.0,2.8000000000000004e-2
150,0.9825500000000033,1.0,3.750000000000001e-2
160,0.9822000000000033,1.0,3.0500000000000006e-2
170,0.980900000000004,1.0,2.6500000000000003e-2
180,0.9821250000000038,1.0,2.7500000000000004e-2
190,0.9831750000000034,1.0,2.7000000000000003e-2
200,0.9823250000000039,1.0,4.1e-2
210,0.9820000000000039,1.0,3.800000000000001e-2
220,0.983225000000003,1.0,2.7500000000000004e-2
230,0.983725000000004,1.0,2.8500000000000008e-2
240,0.9826500000000032,1.0,3.2999999999999995e-2
250,0.9830750000000036,1.0,3.400000000000001e-2
260,0.9825500000000029,1.0,4.4000000000000004e-2
270,0.9832500000000037,1.0,2.5e-2
280,0.9830500000000039,1.0,3.350000000000001e-2
290,0.9826250000000034,1.0,3.350000000000001e-2
300,0.9827000000000038,1.0,3.700000000000001e-2
310,0.9827250000000032,1.0,3.9500000000000014e-2
320,0.9816500000000035,1.0,3.750000000000001e-2
330,0.9810250000000029,1.0,3.750000000000001e-2
340,0.9836000000000036,1.0,2.9500000000000005e-2
350,0.9806000000000036,1.0,4.3000000000000003e-2
360,0.9790250000000023,1.0,4.1500000000000016e-2
370,0.9809000000000032,1.0,3.800000000000001e-2
380,0.9835250000000034,1.0,3.850000000000001e-2
390,0.9832750000000037,1.0,3.300000000000001e-2
400,0.981350000000004,1.0,3.600000000000001e-2
410,0.9813500000000037,1.0,3.600000000000001e-2
420,0.9820250000000036,1.0,2.8000000000000004e-2
430,0.9815250000000038,1.0,3.650000000000001e-2
440,0.9827250000000035,1.0,2.7500000000000004e-2
450,0.9816750000000032,1.0,3.25e-2
460,0.9823500000000029,1.0,3.750000000000001e-2
470,0.9821250000000035,1.0,2.6500000000000006e-2
480,0.980475000000003,1.0,4.250000000000002e-2
490,0.9822000000000033,1.0,3.150000000000001e-2
500,0.981850000000004,1.0,3.600000000000001e-2
