generation,meanFitness,bestFitness,diversity
0,0.4985000000000003,0.62,0.499
10,0.7783500000000007,0.89,0.32399999999999995
20,0.9275249999999992,0.98,0.13500000000000004
30,0.9744250000000022,1.0,5.000000000000001e-2
40,0.9812250000000031,1.0,3.700000000000001e-2
50,0.9833750000000039,1.0,3.350000000000001e-2
60,0.9817000000000031,1.0,4.0000000000000015e-2
70,0.9827500000000036,1.0,3.400000000000001e-2
80,0.9822000000000028,1.0,3.6000000000000004e-2
90,0.9817250000000031,1.0,4.0e-2
100,0.9802250000000039,1.0,3.200000000000001e-2
110,0.9835750000000038,1.0,2.9000000000000005e-2
120,0.9811250000000045,1.0,4.1e-2
130,0.9812250000000037,1.0,5.150000000000001e-2
140,0.982825000000004,1.0,2.849999999999999e-2
150,0.9814750000000032,1.0,3.7000000000000005e-2
160,0.9811750000000039,1.0,3.150000000000001e-2
170,0.9824500000000035,1.0,3.3999999999999996e-2
180,0.980900000000004,1.0,3.600000000000001e-2
190,0.9815000000000036,1.0,3.300000000000001e-2
200,0.9817500000000039,1.0,3.350000000000001e-2
210,0.9816250000000041,1.0,3.0500000000000006e-2
220,0.9818250000000036,1.0,4.1500000000000016e-2
230,0.984650000000003,1.0,2.9000000000000005e-2
240,0.9840000000000036,1.0,3.350000000000001e-2
250,0.9830750000000035,1.0,3.7e-2
260,0.9827750000000037,1.0,3.350000000000001e-2
270,0.9816250000000035,1.0,3.200000000000001e-2
280,0.9829500000000035,1.0,3.0000000000000006e-2
290,0.9814250000000027,1.0,3.800000000000001e-2
300,0.9803250000000036,1.0,3.95e-2
310,0.9825000000000038,1.0,4.200000000000001e-2
320,0.9810750000000035,1.0,4.85e-2
330,0.9827000000000038,1.0,3.150000000000001e-2
340,0.9825750000000029,1.0,3.450000000000001e-2
350,0.9808000000000032,1.0,3.6e-2
360,0.9820500000000035,1.0,4.0000000000000015e-2
370,0.9822500000000037,1.0,4.15e-2
380,0.9798000000000046,1.0,4.300000000000002e-2
390,0.9804500000000038,1.0,3.600000000000001e-2
400,0.9822000000000037,1.0,3.450000000000001e-2
410,0.9831000000000043,1.0,3.900000000000001e-2
420,0.9828250000000034,1.0,3.4000000000000016e-2
430,0.9828250000000033,1.0,3.400000000000001e-2
440,0.981350000000004,1.0,4.1000000000000016e-2
450,0.9813000000000028,1.0,3.700000000000001e-2
460,0.9814000000000034,1.0,3.350000000000001e-2
470,0.9815250000000038,1.0,4.2e-2
480,0.9822500000000044,1.0,2.8500000000000008e-2
490,0.9813250000000034,1.0,3.850000000000001e-2
500,0.9820500000000026,1.0,3.8500000000000006e-2
