generation,meanFitness,bestFitness,diversity
0,0.4985000000000003,0.62,0.499
10,0.7783500000000007,0.89,0.32399999999999995
20,0.9215750000000007,0.98,0.1465
30,0.9732000000000015,1.0,4.950000000000002e-2
40,0.9813750000000029,1.0,3.8e-2
50,0.9828000000000034,1.0,3.5500000000000004e-2
60,0.9812500000000035,1.0,4.1000000000000016e-2
70,0.9825500000000033,1.0,3.500000000000001e-2
80,0.9823000000000027,1.0,3.7000000000000005e-2
90,0.9810000000000031,1.0,4.1000000000000016e-2
100,0.9793000000000036,1.0,3.400000000000001e-2
110,0.9836000000000037,1.0,3.150000000000001e-2
120,0.9814500000000045,1.0,4.150000000000001e-2
130,0.9812250000000036,1.0,5.250000000000001e-2
140,0.9827000000000033,1.0,3.0500000000000006e-2
150,0.981300000000003,1.0,3.600000000000001e-2
160,0.9822500000000042,1.0,3.550000000000001e-2
170,0.9815250000000032,1.0,3.8000000000000006e-2
180,0.9804250000000033,1.0,3.600000000000001e-2
190,0.9812250000000033,1.0,3.400000000000001e-2
200,0.9823750000000042,1.0,3.300000000000001e-2
210,0.981650000000004,1.0,2.9500000000000005e-2
220,0.9818500000000036,1.0,4.0500000000000015e-2
230,0.9840000000000034,1.0,3.150000000000001e-2
240,0.9839750000000032,1.0,3.0500000000000006e-2
250,0.9828500000000037,1.0,3.85e-2
260,0.983375000000003,1.0,3.150000000000001e-2
270,0.981775000000003,1.0,3.0500000000000006e-2
280,0.9829500000000039,1.0,2.9000000000000005e-2
290,0.981525000000003,1.0,4.0000000000000015e-2
300,0.9810250000000038,1.0,3.7000000000000005e-2
310,0.9815250000000034,1.0,4.05e-2
320,0.9812250000000029,1.0,4.55e-2
330,0.9818750000000033,1.0,3.200000000000001e-2
340,0.9816000000000031,1.0,3.750000000000001e-2
350,0.9804000000000037,1.0,4.150000000000001e-2
360,0.9814000000000029,1.0,3.9500000000000014e-2
370,0.982375000000004,1.0,3.600000000000001e-2
380,0.9797500000000032,1.0,4.1000000000000016e-2
390,0.9814500000000044,1.0,3.750000000000001e-2
400,0.9817750000000038,1.0,3.350000000000001e-2
410,0.983275000000004,1.0,4.1500000000000016e-2
420,0.9836750000000036,1.0,3.4000000000000016e-2
430,0.9825750000000035,1.0,3.500000000000001e-2
440,0.9820500000000035,1.0,3.950000000000001e-2
450,0.9828250000000028,1.0,3.2000000000000015e-2
460,0.9813250000000037,1.0,3.400000000000001e-2
470,0.9815250000000038,1.0,4.05e-2
480,0.9828250000000041,1.0,2.8500000000000004e-2
490,0.9813000000000036,1.0,4.3500000000000004e-2
500,0.9820250000000027,1.0,3.700000000000001e-2
