generation,meanFitness,bestFitness,diversity
0,0.4950250000000002,0.64,0.4880000000000001
10,0.7743250000000004,0.89,0.33499999999999996
20,0.9322500000000008,0.99,0.12150000000000002
30,0.9782750000000029,1.0,4.400000000000001e-2
40,0.9822000000000043,1.0,3.3e-2
50,0.9827750000000036,1.0,2.950000000000001e-2
60,0.9828250000000038,1.0,3.9e-2
70,0.983075000000002,1.0,3.0000000000000006e-2
80,0.9818250000000036,1.0,3.850000000000001e-2
90,0.9824000000000039,1.0,3.600000000000001e-2
100,0.9822500000000031,1.0,2.8500000000000004e-2
110,0.9816750000000033,1.0,3.650000000000001e-2
120,0.9820000000000035,1.0,3.1e-2
130,0.9823000000000036,1.0,3.650000000000001e-2
140,0.9841250000000029,1.0,2.8000000000000008e-2
150,0.9817750000000036,1.0,3.55e-2
160,0.9821750000000035,1.0,3.2000000000000015e-2
170,0.9810500000000038,1.0,2.6500000000000003e-2
180,0.983100000000004,1.0,2.5000000000000005e-2
190,0.9833500000000036,1.0,2.7000000000000003e-2
200,0.9822500000000035,1.0,3.95e-2
210,0.9822500000000037,1.0,3.650000000000001e-2
220,0.9835250000000032,1.0,2.8499999999999998e-2
230,0.9829750000000037,1.0,3.1000000000000007e-2
240,0.9824750000000029,1.0,3.350000000000001e-2
250,0.9831500000000035,1.0,3.350000000000001e-2
260,0.9828250000000032,1.0,4.2e-2
270,0.9832500000000034,1.0,2.45e-2
280,0.9826500000000037,1.0,4.0000000000000015e-2
290,0.9822000000000034,1.0,3.400000000000001e-2
300,0.9826250000000034,1.0,3.750000000000001e-2
310,0.9831250000000031,1.0,4.05e-2
320,0.9814250000000035,1.0,3.700000000000001e-2
330,0.9800000000000029,1.0,4.0500000000000015e-2
340,0.9841500000000035,1.0,2.7000000000000007e-2
350,0.9807000000000039,1.0,4.5e-2
360,0.979250000000003,1.0,4.2e-2
370,0.9812000000000032,1.0,3.650000000000001e-2
380,0.9833250000000038,1.0,3.9000000000000014e-2
390,0.9833250000000033,1.0,3.400000000000001e-2
400,0.980625000000004,1.0,3.9500000000000014e-2
410,0.9819500000000033,1.0,3.450000000000001e-2
420,0.9818000000000032,1.0,2.8000000000000004e-2
430,0.9813000000000034,1.0,3.650000000000001e-2
440,0.9829750000000037,1.0,2.7000000000000007e-2
450,0.9812250000000033,1.0,3.400000000000001e-2
460,0.9819500000000023,1.0,3.350000000000001e-2
470,0.9827250000000034,1.0,2.5500000000000005e-2
480,0.9799750000000028,1.0,4.350000000000001e-2
490,0.9822500000000034,1.0,2.95e-2
500,0.9820750000000039,1.0,4.250000000000002e-2
