generation,eta_sq_fitness,ci_lo_fitness,ci_hi_fitness,eta_sq_diversity,ci_lo_diversity,ci_hi_diversity,source
0,0.000000,0.023903,0.195269,0.000000,0.022766,0.194746,10-run
10,0.000000,0.021779,0.195169,0.000000,0.023197,0.193201,10-run
20,0.771316,0.728601,0.850518,0.576403,0.526209,0.712641,10-run
30,0.879855,0.853913,0.925884,0.756693,0.715420,0.841893,10-run
40,0.551058,0.455617,0.708605,0.055779,0.042489,0.273682,10-run
50,0.145199,0.082404,0.378934,0.019905,0.028616,0.233435,10-run
60,0.003746,0.022593,0.206150,0.002099,0.022922,0.209538,10-run
70,0.028041,0.027343,0.240430,0.006973,0.023440,0.213210,10-run
80,0.036432,0.033990,0.255488,0.011558,0.027759,0.209684,10-run
90,0.004640,0.022704,0.200326,0.001794,0.023438,0.197287,10-run
100,0.012028,0.023537,0.208037,0.007086,0.024389,0.199478,10-run
110,0.082076,0.091730,0.694665,0.017745,0.085773,0.644272,3-run
120,0.065132,0.111708,0.651757,0.016458,0.082203,0.633992,3-run
130,0.082160,0.099347,0.700784,0.012980,0.076863,0.604992,3-run
140,0.328076,0.278103,0.780097,0.043588,0.089484,0.657244,3-run
150,0.168187,0.149626,0.752116,0.237528,0.180601,0.769679,3-run
160,0.403409,0.361344,0.844701,0.305550,0.163149,0.867235,3-run
170,0.054088,0.093403,0.660104,0.017692,0.090555,0.636804,3-run
180,0.055576,0.105057,0.673841,0.018764,0.096743,0.626214,3-run
190,0.017035,0.087441,0.624110,0.074203,0.105914,0.642717,3-run
200,0.307870,0.243918,0.859264,0.024248,0.096052,0.615632,3-run
210,0.143741,0.135746,0.743649,0.027231,0.087715,0.625798,3-run
220,0.040562,0.088839,0.676769,0.051356,0.099040,0.650126,3-run
230,0.026093,0.091783,0.647265,0.038438,0.093310,0.656330,3-run
240,0.043086,0.087689,0.706879,0.046136,0.096652,0.654422,3-run
250,0.238421,0.190538,0.849789,0.003580,0.084931,0.609200,3-run
260,0.184127,0.164639,0.712218,0.066412,0.099402,0.660369,3-run
270,0.219006,0.214824,0.734771,0.014152,0.085838,0.621092,3-run
280,0.004641,0.057997,0.667775,0.043760,0.082887,0.686279,3-run
290,0.102645,0.122694,0.679637,0.319892,0.301424,0.783178,3-run
300,0.008231,0.085021,0.626765,0.118288,0.120681,0.724584,3-run
310,0.217743,0.139969,0.776258,0.106369,0.104740,0.684800,3-run
320,0.170321,0.184584,0.700100,0.014088,0.070678,0.684996,3-run
330,0.023414,0.086846,0.658875,0.049207,0.092042,0.696392,3-run
340,0.293252,0.320582,0.790077,0.028340,0.084975,0.666333,3-run
350,0.024038,0.092067,0.666345,0.057954,0.105991,0.650795,3-run
360,0.032866,0.090634,0.649757,0.261228,0.209079,0.742919,3-run
370,0.060383,0.084329,0.697535,0.228097,0.174148,0.751142,3-run
380,0.019266,0.090052,0.610432,0.024317,0.090958,0.614002,3-run
390,0.050022,0.090063,0.672894,0.244543,0.176331,0.861512,3-run
400,0.047633,0.104170,0.691184,0.024672,0.086796,0.629228,3-run
410,0.098827,0.104078,0.710803,0.175507,0.121192,0.763297,3-run
420,0.048317,0.101953,0.650210,0.013912,0.081659,0.629659,3-run
430,0.147168,0.142477,0.721572,0.012108,0.076998,0.610598,3-run
440,0.058073,0.085538,0.678822,0.003186,0.083912,0.640711,3-run
450,0.046718,0.086503,0.711343,0.039869,0.072165,0.715558,3-run
460,0.090171,0.099548,0.756185,0.087810,0.092488,0.730413,3-run
470,0.052821,0.066502,0.747560,0.010995,0.083471,0.621545,3-run
480,0.018193,0.078293,0.654235,0.007030,0.093712,0.604451,3-run
490,0.348179,0.143098,0.881341,0.012509,0.089025,0.616587,3-run
500,0.104030,0.114172,0.715269,0.042118,0.095322,0.647585,3-run
