generation,meanFitness,bestFitness,diversity
0,0.4950250000000002,0.64,0.4880000000000001
10,0.7743250000000004,0.89,0.33499999999999996
20,0.9349500000000002,0.99,0.11400000000000002
30,0.9765750000000024,1.0,4.850000000000002e-2
40,0.9819250000000039,1.0,3.6000000000000004e-2
50,0.9826250000000034,1.0,3.000000000000001e-2
60,0.9827000000000038,1.0,3.8e-2
70,0.9824250000000024,1.0,3.500000000000001e-2
80,0.981700000000004,1.0,4.0000000000000015e-2
90,0.9822000000000035,1.0,3.500000000000001e-2
100,0.9817750000000034,1.0,3.05e-2
