generation,meanFitness,bestFitness,diversity
0,0.4985000000000003,0.62,0.499
10,0.7783500000000007,0.89,0.32399999999999995
20,0.9404499999999988,1.0,0.10800000000000003
30,0.9811000000000036,1.0,3.9000000000000014e-2
40,0.9816750000000029,1.0,3.9500000000000014e-2
50,0.9834750000000032,1.0,3.150000000000001e-2
60,0.9817750000000031,1.0,4.0500000000000015e-2
70,0.9828750000000039,1.0,3.450000000000001e-2
80,0.982850000000003,1.0,3.5e-2
90,0.9813500000000029,1.0,4.0e-2
100,0.9800000000000036,1.0,3.000000000000001e-2
