generation,meanFitness,bestFitness,diversity
0,0.4997,0.64,0.49400000000000005
10,0.7784250000000008,0.86,0.3359999999999999
20,0.9175500000000008,0.97,0.14300000000000002
30,0.9643500000000015,1.0,7.050000000000002e-2
40,0.9779250000000043,1.0,4.600000000000002e-2
50,0.9826000000000031,1.0,3.550000000000001e-2
60,0.984675000000003,1.0,2.6000000000000002e-2
70,0.9805750000000023,1.0,3.0500000000000006e-2
80,0.9818250000000027,1.0,4.0500000000000015e-2
90,0.9823500000000033,1.0,3.450000000000001e-2
100,0.9818250000000028,1.0,3.350000000000001e-2
