generation,meanFitness,bestFitness,diversity
0,0.4985000000000003,0.62,0.499
10,0.7783500000000007,0.89,0.32399999999999995
20,0.9327249999999999,0.99,0.123
30,0.9791250000000038,1.0,4.65e-2
40,0.9817750000000028,1.0,3.850000000000001e-2
50,0.9839250000000033,1.0,3.150000000000001e-2
60,0.9816750000000034,1.0,4.1500000000000016e-2
70,0.9830000000000032,1.0,3.500000000000001e-2
80,0.9827250000000026,1.0,3.45e-2
90,0.9814750000000031,1.0,4.0500000000000015e-2
100,0.9800250000000034,1.0,3.350000000000001e-2
