generation,meanFitness,bestFitness,diversity
0,0.4985000000000003,0.62,0.499
10,0.7783500000000007,0.89,0.32399999999999995
20,0.9337999999999983,0.98,0.12099999999999997
30,0.9778250000000032,1.0,4.350000000000001e-2
40,0.9814750000000025,1.0,3.700000000000001e-2
50,0.9836000000000038,1.0,3.15e-2
60,0.9817750000000035,1.0,4.0000000000000015e-2
70,0.9828500000000031,1.0,3.350000000000001e-2
80,0.9823000000000027,1.0,3.5500000000000004e-2
90,0.9817500000000032,1.0,3.9000000000000014e-2
100,0.9805000000000028,1.0,3.300000000000001e-2
