generation,meanFitness,bestFitness,diversity
0,0.5032000000000003,0.64,0.5085
10,0.7818999999999992,0.88,0.33449999999999996
20,0.9363499999999998,0.99,0.11300000000000002
30,0.977875000000003,1.0,4.25e-2
40,0.9839250000000042,1.0,3.750000000000001e-2
50,0.9819000000000037,1.0,3.250000000000001e-2
60,0.9815500000000031,1.0,3.350000000000001e-2
70,0.9806250000000033,1.0,3.850000000000001e-2
80,0.9833500000000045,1.0,3.850000000000001e-2
90,0.9814250000000032,1.0,3.700000000000001e-2
100,0.9801000000000036,1.0,3.600000000000001e-2
