generation,eta_sq_fitness,eta_sq_diversity,rho_fitness,p_fitness,rho_diversity,p_diversity
0,0.000000,0.000000,-0.327327,0.428692,0.872872,0.004659
10,0.000000,0.000000,0.082479,0.846053,0.394405,0.333601
20,0.771316,0.576403,0.619048,0.101733,-0.523810,0.182721
30,0.879855,0.756693,0.761905,0.028005,-0.547619,0.160026
40,0.551058,0.055779,0.500000,0.207031,-0.166667,0.693239
50,0.145199,0.019905,0.500000,0.207031,-0.261905,0.530923
60,0.003746,0.002099,0.690476,0.057990,0.491027,0.216608
70,0.028041,0.006973,0.738095,0.036553,-0.261905,0.530923
80,0.036432,0.011558,0.738095,0.036553,-0.862291,0.005873
90,0.004640,0.001794,0.047619,0.910849,0.059881,0.887991
100,0.012028,0.007086,0.023810,0.955374,-0.443122,0.271502
