generation,meanFitness,bestFitness,diversity
0,0.5034750000000002,0.68,0.511
10,0.7913000000000003,0.88,0.29300000000000004
20,0.9261750000000003,0.98,0.13
30,0.9767500000000036,1.0,4.850000000000001e-2
40,0.9816000000000029,1.0,3.250000000000001e-2
50,0.981350000000003,1.0,4.0000000000000015e-2
60,0.9827000000000037,1.0,3.1000000000000007e-2
70,0.9827250000000034,1.0,4.2e-2
80,0.9811750000000029,1.0,3.750000000000001e-2
90,0.9827000000000031,1.0,3.150000000000001e-2
100,0.9818000000000039,1.0,3.800000000000001e-2
