generation,meanFitness,bestFitness,diversity
0,0.49727499999999947,0.65,0.49450000000000005
10,0.7718249999999997,0.86,0.35
20,0.9350500000000004,1.0,0.1265
30,0.9775750000000023,1.0,4.650000000000001e-2
40,0.9831250000000032,1.0,2.05e-2
50,0.983425000000004,1.0,2.7500000000000004e-2
60,0.9811500000000036,1.0,3.0000000000000006e-2
70,0.9806750000000037,1.0,4.3500000000000004e-2
80,0.9833000000000043,1.0,3.400000000000001e-2
90,0.9838000000000036,1.0,3.0500000000000006e-2
100,0.9838250000000032,1.0,3.600000000000002e-2
